transaction_id,business_id,amount,timestamp,payee,payment_type,device_id,location,is_new_payee,is_new_device,historical_avg_amount
TXN00001,B001,697.0,2026-08-09 10:43:00,Payee_095,DIRECT_DEBIT,DEV_003,Adelaide,False,True,704
TXN00002,B002,1954.98,2026-06-06 16:01:00,Payee_072,BANK_TRANSFER,DEV_018,Perth,False,False,2405
TXN00003,B001,1675.11,2026-07-26 10:48:00,Payee_044,BANK_TRANSFER,DEV_003,Perth,False,False,1807
TXN00004,B005,2090.12,2026-06-25 08:34:00,Payee_016,BPAY,DEV_003,Adelaide,False,False,2666
TXN00005,B003,2030.26,2026-07-16 11:05:00,Payee_030,BANK_TRANSFER,DEV_013,Brisbane,False,False,2075
TXN00006,B002,3272.49,2026-07-27 13:42:00,Payee_035,DIRECT_DEBIT,DEV_003,Adelaide,False,False,3532
TXN00007,B002,1483.69,2026-05-26 18:35:00,Payee_029,DIRECT_DEBIT,DEV_011,Melbourne,False,True,1838
TXN00008,B003,3962.38,2026-08-14 12:13:00,Payee_073,DIRECT_DEBIT,DEV_011,Sydney,False,False,3786
TXN00009,B004,1640.67,2026-06-15 16:16:00,Payee_096,DIRECT_DEBIT,DEV_014,Adelaide,False,False,1670
TXN00010,B002,5549.56,2026-08-11 15:48:00,Payee_007,BANK_TRANSFER,DEV_005,Sydney,False,False,4674
TXN00011,B001,1413.09,2026-07-21 16:35:00,Payee_002,DIRECT_DEBIT,DEV_004,Adelaide,False,False,3652
TXN00012,B003,2210.04,2026-06-28 12:10:00,Payee_059,BANK_TRANSFER,DEV_009,Adelaide,False,False,1413
TXN00013,B001,3421.21,2026-08-03 11:23:00,Payee_098,BANK_TRANSFER,DEV_018,Adelaide,False,False,2944
TXN00014,B004,494.52,2026-07-07 09:56:00,Payee_040,BANK_TRANSFER,DEV_002,Sydney,False,False,659
TXN00015,B001,5728.33,2026-08-06 16:08:00,Payee_085,BPAY,DEV_018,Sydney,False,False,4481
TXN00016,B004,822.32,2026-05-26 16:12:00,Payee_092,BPAY,DEV_013,Brisbane,False,False,2235
TXN00017,B001,2620.96,2026-06-13 17:14:00,Payee_076,BANK_TRANSFER,DEV_001,Melbourne,False,False,2530
TXN00018,B001,926.75,2026-08-13 13:32:00,Payee_031,BPAY,DEV_016,Sydney,False,False,757
TXN00019,B005,4426.41,2026-07-29 14:06:00,Payee_013,DIRECT_DEBIT,DEV_014,Brisbane,False,False,4372
TXN00020,B001,1675.18,2026-07-02 08:46:00,Payee_044,BANK_TRANSFER,DEV_008,Sydney,False,False,1306
TXN00021,B004,1935.27,2026-06-27 09:51:00,Payee_071,BANK_TRANSFER,DEV_002,Adelaide,False,False,2003
TXN00022,B002,2209.27,2026-06-21 14:30:00,Payee_028,BPAY,DEV_002,Sydney,False,False,1862
TXN00023,B003,3868.47,2026-05-30 16:45:00,Payee_063,BANK_TRANSFER,DEV_007,Brisbane,False,False,4227
TXN00024,B005,1375.31,2026-08-15 13:03:00,Payee_075,BPAY,DEV_017,Adelaide,False,False,999
